NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
060250314434,Academy of Media Arts,34.05434799999998,-118.25578,C,No,0,Yes,2,No,0
060297009302,Rancho Learning Center (Alternative),34.138380999999995,-118.02328199999997,C,No,0,No,0,No,0
060369000338,Sierra Vista High,34.0761,-117.9803,D,Yes,8,Yes,1,Yes,9
060444000408,Somerset High,33.882452,-118.13673800000001,C,No,0,No,0,No,0
060444013706,Las Flores Home Education Independent Study Academy,33.876899999999985,-118.1196,C,No,0,No,0,No,0
060474011300,Berkeley Technology Academy,37.859409,-122.27116600000001,C,No,0,Yes,1,No,0
060483000470,Moreno High (Continuation),34.062636,-118.41028499999997,C,No,0,Yes,1,No,0
060645005849,Magnolia Park,34.186637,-118.332195,C,No,0,No,0,No,0
060645008120,Monterey High (Continuation),34.186637,-118.332195,C,No,0,No,0,No,0
061221008826,Arena High (Continuation),33.92479999999999,-118.411553,C,No,0,No,0,No,0
061455001723,Edison High,36.719861,-119.8058,D,Yes,7,Yes,4,Yes,18
061455001986,Cambridge Continuation High,36.733221,-119.73559499999999,D,No,0,No,0,Yes,1
061455005749,J. E. Young Academic Center,36.75380199999999,-119.788923,C,No,0,No,0,No,0
061524001924,Daily (Allan F.) High (Continuation),34.149129,-118.25117300000001,C,No,0,No,0,No,0
061524008019,Jewel City Community Day,34.148958,-118.25058700000001,C,No,0,No,0,No,0
061668011295,Hawthorne Math and Science Academy,33.9203,-118.35409999999999,C,Yes,2,Yes,5,Yes,5
061839002254,Inglewood High,33.96039300000001,-118.35592099999997,C,Yes,4,No,0,Yes,5
061839003213,Inglewood Continuation High,33.956729999999986,-118.36308199999999,C,No,0,No,0,No,0
061839008716,City Honors International Preparatory High,33.963868000000005,-118.35625900000001,C,Yes,3,No,0,No,0
062250010239,Educational Partnership High,33.789407,-118.194524,C,No,0,No,0,No,0
062250013001,Beach K-12 Independent Study,33.79745499999999,-118.21853899999999,C,Yes,1,No,0,No,0
062250014120,Richard D. Browning High,33.796291,-118.154085,D,No,0,No,0,Yes,8
062271002128,Youth Opportunities Unlimited,33.96028700000001,-118.29034199999997,C,No,0,No,0,Yes,3
