NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,MAGNET_OR_CHARTER_FLAG,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,PCT_CERTIFIED_FTE,TITLEI_STATUS,TITLE1_FLAG
270345002231,AUSTIN AREA LEARNING CENTER,43.668265,-92.979174,B,No,0,No,0,Yes,1,No,No,0,4.0,4.0,100.0,SWELIGNOPROG,
270895500016,CITY ACADEMY,44.96997,-93.07695,D,No,0,No,0,Yes,2,No,Yes,1,9.0,9.0,100.0,NOTTITLE1ELIG,0.0
271104000460,DENFELD HIGH SCHOOL,46.74878299999999,-92.15928999999998,A,Yes,1,No,0,Yes,3,No,No,0,56.2,50.0,88.9679715302491,SWELIGNOPROG,
271104001574,CHESTER CREEK ACADEMY,46.81472199999999,-92.093644,C,No,0,No,0,No,0,No,No,0,10.7,10.7,100.0,SWELIGNOPROG,
272124000958,Edison High,45.00938999999999,-93.25168099999999,C,No,0,No,0,Yes,14,No,No,0,77.0,77.0,100.0,SWELIGSWPROG,
272124000977,Henry High,45.03439999999999,-93.30533099999998,B,Yes,1,Yes,2,Yes,4,No,No,0,74.7,74.0,99.06291834002677,SWELIGSWPROG,
272124001026,Roosevelt High,44.930256,-93.231481,B,Yes,7,No,0,Yes,12,No,No,0,79.4,79.4,100.0,SWELIGSWPROG,
272124001035,South High,44.945963000000006,-93.24426899999999,B,Yes,9,No,0,Yes,19,No,No,0,107.6,107.6,100.0,SWELIGSWPROG,
272124001037,Southwest High,44.91840499999999,-93.324337,B,Yes,1,Yes,1,Yes,3,No,No,0,110.2,109.2,99.09255898366605,TGELGBNOPROG,
272124001055,Washburn High,44.913424000000006,-93.282531,A,Yes,8,No,0,Yes,8,No,No,0,89.8,89.3,99.44320712694878,TGELGBNOPROG,
272124001898,MERC,44.956064,-93.28263399999999,B,No,0,No,0,Yes,1,No,No,0,9.5,9.5,100.0,SWELIGSWPROG,
272124001899,LORING-NICOLLET HIGH,44.973157,-93.280535,C,No,0,No,0,Yes,1,No,No,0,9.5,9.5,100.0,SWELIGSWPROG,
272124001901,PLYMOUTH YOUTH CENTER,45.001758,-93.30660299999998,C,No,0,No,0,No,0,No,No,0,9.5,9.5,100.0,SWELIGSWPROG,
272124001903,CENTER SCHOOL,44.958306,-93.252068,C,No,0,No,0,No,0,Yes,No,1,9.5,9.5,100.0,SWELIGSWPROG,
272124001908,MENLO PARK ACADEMY,45.00581499999999,-93.26666,D,No,0,No,0,Yes,1,No,No,0,9.5,9.5,100.0,SWELIGSWPROG,
272124001914,TRANSITION PLUS SERVICES,44.947926,-93.243024,C,No,0,Yes,1,No,0,No,No,0,34.9,34.9,100.0,SWELIGNOPROG,
272124001915,HARRISON EDUCATION CENTER,44.98249599999999,-93.299671,C,No,0,No,0,No,0,No,No,0,13.7,13.7,100.0,SWELIGNOPROG,
272124001935,MPS METRO HA,44.99432599999999,-93.256289,D,No,0,No,0,No,0,No,No,0,16.7,16.7,100.0,SWELIGSWPROG,
272124001936,MPS Metro DT,44.942078,-93.260772,B,No,0,No,0,No,0,No,No,0,9.5,9.5,100.0,NOTTITLE1ELIG,0.0
272124001948,MPS METRO C,44.923688,-93.318225,B,No,0,No,0,No,0,No,No,0,1.0,1.0,100.0,NOTTITLE1ELIG,0.0
272124002862,Takoda Prep,44.961955,-93.24604899999999,D,No,0,No,0,No,0,Yes,No,1,9.5,9.5,100.0,SWELIGSWPROG,
272124003022,RIVER BEND EDUCATIONAL CENTER,44.981224999999995,-93.299478,C,No,0,No,0,No,0,No,No,0,25.6,25.6,100.0,SWELIGNOPROG,
272124003106,Longfellow Alternative High,44.94643599999999,-93.22776199999998,B,No,0,No,0,Yes,1,No,No,0,7.9,7.9,100.0,SWELIGSWPROG,
272124004188,MPS Online 6-12,44.999508,-93.29680899999998,C,No,0,No,0,Yes,3,No,No,0,7.6,7.6,100.0,SWELIGSWPROG,
272124004557,North High,44.994017,-93.300234,C,Yes,1,Yes,4,Yes,5,No,No,0,36.5,36.5,100.0,SWELIGSWPROG,
272124004903,Heritage Academy High,44.941956999999995,-93.261291,B,No,0,No,0,Yes,3,Yes,No,1,11.5,11.5,100.0,SWELIGSWPROG,
272124005036,Minneapolis Academy & Career Center,44.999508,-93.29680899999998,C,No,0,No,0,No,0,No,No,0,4.4,4.4,100.0,SWELIGSWPROG,
273180004899,Project Search Mayo Clinic,44.01628199999999,-92.472179,A,No,0,No,0,No,0,No,No,0,1.0,1.0,100.0,NOTTITLE1ELIG,0.0
273327001456,South St. Paul High School,44.893195000000006,-93.042023,B,Yes,6,No,0,Yes,11,No,No,0,48.05,48.05,100.0,SWELIGNOPROG,
273351003369,ST. CLOUD HOSPITAL PROGRAMS NON-RES,45.57573699999999,-94.16952,A,No,0,No,0,No,0,No,No,0,4.1,4.1,100.0,SWELIGNOPROG,
273351004648,Roosevelt Education Center,45.55965199999999,-94.195075,C,No,0,No,0,No,0,No,No,0,13.0,13.0,100.0,SWELIGNOPROG,
273351004649,St Cloud Hospital Progs-Residential,45.57573699999999,-94.16952,A,No,0,No,0,No,0,No,No,0,0.01,0.01,100.0,TGELGBNOPROG,
273384001229,FOCUS BEYOND,44.931633999999995,-93.11779499999999,D,No,0,No,0,No,0,No,No,0,25.6,25.6,100.0,SWELIGNOPROG,
273384001489,GUADALUPE ALTERNATIVE PROGRAMS,44.928321999999994,-93.069199,D,No,0,No,0,No,0,No,No,0,13.0,10.0,76.92307692307693,SWELIGSWPROG,
273384001598,HUMBOLDT HIGH SCHOOL,44.92578100000001,-93.08396999999998,C,No,0,Yes,3,Yes,5,Yes,No,1,86.0,86.0,100.0,SWELIGSWPROG,
273384001603,JOHNSON SENIOR HIGH,44.981903,-93.06724199999998,B,Yes,1,Yes,2,Yes,5,Yes,No,1,87.0,87.0,100.0,SWELIGSWPROG,
273384001955,COMO PARK SENIOR HIGH,44.97599,-93.13114,C,Yes,3,No,0,Yes,5,Yes,No,1,72.2,72.2,100.0,SWELIGSWPROG,
273384002189,BRIDGE VIEW SPECIAL EDUCATION,44.931135,-93.11877699999998,D,No,0,No,0,No,0,No,No,0,25.6,25.6,100.0,SWELIGNOPROG,
273384002455,LEAP HIGH SCHOOL,44.968076999999994,-93.068726,C,No,0,No,0,No,0,No,No,0,16.7,16.7,100.0,SWELIGSWPROG,
273384003457,JOURNEYS SECONDARY SCHOOL,44.939239,-93.114603,D,No,0,No,0,No,0,No,No,0,14.0,14.0,100.0,SWELIGNOPROG,
273384004275,RIVEREAST PROGRAM,44.971991,-93.12252299999999,C,No,0,No,0,No,0,No,No,0,10.0,10.0,100.0,SWELIGNOPROG,
273384004398,ANNA WESTIN HOUSE,44.980751,-93.19421499999999,B,No,0,No,0,No,0,No,No,0,1.0,1.0,100.0,SWELIGNOPROG,
273384004443,OPEN WORLD LEARNING SECONDARY,44.92674499999999,-93.084489,C,Yes,1,Yes,1,Yes,1,Yes,No,1,27.0,27.0,100.0,TGELGBNOPROG,
273384004792,ALC Gateway to College,44.948956,-93.110026,D,No,0,No,0,No,0,No,No,0,0.0,0.0,,SWELIGSWPROG,
273384004858,Brittany's Place,44.930341999999996,-93.11895,D,No,0,No,0,No,0,No,No,0,1.0,1.0,100.0,SWELIGNOPROG,
280219000396,LANIER HIGH SCHOOL,32.317567999999994,-90.202636,D,No,0,Yes,2,No,0,No,No,0,50.0,48.0,96.0,SWELIGSWPROG,
