SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2
23000,Maine,59521.7,59974.7,60460.7,59877.1,59387.6,59215.3,59129.1,59986.9,59499.8,59841.7,59256.5,58128.8,59236.0,58667.9,58946.6,59205.3,58879.6,59283.3,59844.8,60351.6,59728.4,60491.7,60746.0,61285.8,61501.8,62152.8,62022.1,62471.6,62626.9,62551.0,63144.9,63679.7,64389.5,64747.8,65140.3,64947.6,65368.4,65944.8,67321.8,68398.5,68249.1,63753.9,68574.2,69979.5,70351.7,71187.1,71796.2,72078.9,72689.6,72832.8,72391.1,73623.9,74440.7,74925.4,76150.1,76540.1,77452.9,77311.4,77856.6,78413.5,77496.8,77953.3
24000,Maryland,347199.4,351031.3,353704.8,358556.1,356574.2,360262.4,360945.8,362841.0,363302.5,360178.5,363193.0,359573.2,364294.7,362927.9,365003.6,366306.8,365053.7,370519.7,373964.6,371837.8,376581.3,377179.1,379438.8,381784.4,386352.7,390599.1,393758.7,397093.3,396293.5,398024.3,400397.6,404142.7,401387.7,402903.9,402950.9,402681.0,397378.6,401766.7,404411.1,406468.6,395815.6,370573.7,394480.4,395844.8,407569.4,404274.7,405909.0,410887.3,410997.3,412214.9,413488.9,413981.5,416584.5,417401.6,423457.9,424787.8,430281.1,430637.0,435229.4,436276.0,433932.2,435433.9
25000,Massachusetts,453493.8,460133.8,467871.2,467824.2,463082.3,477695.9,471180.6,478698.2,479865.9,484438.4,485580.5,483260.5,484140.0,484452.2,488789.7,490585.2,487401.1,491619.4,499519.7,506463.5,509447.8,515058.7,514004.1,519084.4,517436.5,520488.2,525355.3,523371.1,523363.0,527240.0,532282.4,537632.4,544255.9,548661.1,551199.4,552931.8,559139.1,562866.6,569870.3,573431.2,573469.4,526485.9,564617.0,577010.9,581795.0,594783.2,604845.1,608256.7,603109.6,605391.1,604341.1,617040.7,609329.1,611693.0,616341.5,621780.9,623365.8,629680.6,632839.7,629261.6,635775.7,642813.7
26000,Michigan,426056.2,439940.6,450232.9,448856.3,451041.3,449938.0,451636.2,463340.8,462320.0,463293.0,464423.9,463173.4,471261.3,471049.9,473816.6,474991.7,472767.2,479783.7,483288.7,482300.1,485874.8,490429.4,492803.4,493367.2,494035.7,500885.4,501228.5,504488.6,502333.0,504804.5,504297.9,508970.7,516834.2,517627.3,517394.4,515516.0,514034.2,518378.8,524474.7,527452.4,518254.2,456535.1,515571.1,520128.8,520204.4,530890.9,530175.4,533536.4,537786.5,537571.4,540574.6,543297.4,548359.7,552386.1,558469.8,559009.3,557328.7,563996.1,562756.7,564629.0,561025.8,566019.2
27000,Minnesota,301025.2,305072.4,309866.6,316403.2,311827.5,317343.8,315004.8,316677.2,320691.2,320660.5,322096.0,320767.6,324710.0,327180.0,333101.2,334106.8,332424.6,337987.2,342642.0,341441.8,345361.8,343996.2,345331.1,347135.9,346601.0,348006.1,353955.8,353851.5,356459.9,354121.3,352183.8,356122.5,361044.1,363643.2,366978.9,367532.6,365533.0,367627.0,371869.3,373440.2,365684.4,338101.1,361128.7,366411.9,371706.8,380592.0,377716.0,381888.4,381472.3,385791.6,389255.7,387167.4,386979.8,387306.6,390451.9,394719.7,394496.9,397452.3,402551.0,402513.1,401421.6,404755.7
28000,Mississippi,105854.1,106816.8,107258.3,106917.9,105782.4,106060.7,106303.5,107817.7,109763.5,109540.8,108502.2,106779.3,109425.6,107946.6,110130.8,108627.7,108009.5,110003.8,109578.2,109606.8,108806.3,109428.8,109782.8,109588.9,110382.5,109873.0,109590.4,109798.2,110781.6,110037.7,110052.1,110254.3,110109.5,110597.5,110112.7,109879.4,109403.6,110093.0,111734.2,113600.4,113481.4,103486.6,113401.7,114410.4,116393.1,116221.0,115679.9,116019.4,115312.8,114788.7,115519.1,117180.8,117895.2,118610.5,119913.4,121397.7,121687.7,122953.4,124259.7,124776.4,124952.5,124683.8
29000,Missouri,295108.1,295922.3,296912.9,296002.5,291686.4,292631.0,292476.0,295143.6,297174.2,297130.2,295762.5,295990.2,301962.5,301564.3,302165.9,302409.9,299091.2,302437.6,305669.8,307272.8,307430.2,308764.1,309245.8,306599.6,308293.8,307446.8,307698.5,310254.1,308978.8,311063.5,311440.1,313612.6,311738.5,314187.3,314970.5,315833.3,316716.3,319361.9,323476.0,325762.1,320973.3,296881.3,320474.7,326305.0,327706.8,332682.9,332092.2,333829.9,334486.3,336350.1,338202.0,339863.4,342704.9,345488.5,348291.3,351096.5,350720.9,352152.3,354653.7,355702.8,353763.2,356516.6
30000,Montana,42122.2,42332.3,42610.1,42814.6,43255.5,43300.8,43314.0,44258.4,44426.8,44177.9,44375.3,44336.3,44914.9,44987.9,45190.6,45365.4,45480.3,46013.4,46369.0,46804.0,47709.8,47904.8,48090.3,47357.5,47078.9,46616.0,47088.8,47974.8,48109.5,48795.2,48618.3,48359.1,49453.7,49473.8,49333.5,49558.8,49745.2,49826.1,50719.0,50763.6,49774.3,47215.0,51222.9,52039.5,52683.6,53586.4,53178.2,53935.4,55915.4,55650.8,55569.4,56092.0,57643.3,58264.6,59043.7,59467.9,59568.2,60262.4,60860.8,61731.4,61102.1,61636.4
31000,Nebraska,102213.4,104002.5,104853.3,104694.0,109540.6,109209.3,108889.8,111297.1,109510.2,110481.6,109316.1,109437.3,111419.4,111088.8,111801.7,111219.0,114001.1,115948.7,115937.6,116720.3,118409.6,119734.9,120205.4,120213.5,119365.9,120225.7,121946.1,123674.7,121940.4,123301.6,123207.0,124430.5,126088.4,124965.7,125057.4,126062.3,125377.5,126155.4,128147.2,130595.3,126910.5,119685.1,128859.3,131390.1,133228.5,135815.4,135812.5,135809.0,139190.8,139108.9,141014.4,140198.3,146251.6,146414.2,147292.1,148628.2,147200.0,148608.0,148189.2,148414.1,147789.8,149665.7
32000,Nevada,139689.3,142042.3,144001.1,144723.9,143001.2,145703.0,144410.0,144250.6,143864.7,143238.9,142934.6,141906.1,144167.6,143484.8,144467.7,146077.0,143523.1,144371.3,145775.9,147544.0,148414.9,150694.0,151743.3,153371.3,153211.7,154219.3,158272.5,158326.1,161418.9,162573.2,164735.4,164068.8,167517.3,167927.6,168470.2,170639.0,173525.4,174565.5,176929.3,179098.7,176889.9,149943.6,167210.6,169655.2,173346.5,181517.6,186395.5,189213.7,190600.5,194866.1,195614.0,196775.1,198464.9,199726.2,202425.1,204018.2,205489.1,206299.0,208007.9,209611.4,208448.8,210269.9
