NCESSCH,NAME,LAT,LON,CITY,STATE
170993000748,Ellington Elem School,41.8853,-87.7662,Chicago,IL
170993000752,Ericson Elem Scholastic Academy,41.8759,-87.7163,Chicago,IL
170993000753,Esmond Elem School,41.6893,-87.6696,Chicago,IL
170993000755,Everett Elem School,41.8317,-87.6811,Chicago,IL
170993000757,Evers Elem School,41.7157,-87.6391,Chicago,IL
170993000758,Simeon Career Academy High School,41.7455,-87.6347,Chicago,IL
170993000759,Falconer Elem School,41.9356,-87.7499,Chicago,IL
170993000760,Kellman Corporate Community Elem,41.8703,-87.7023,Chicago,IL
170993000762,Faraday Elem School,41.8799,-87.7078,Chicago,IL
170993000763,Harriet Tubman Elem School,41.934,-87.6557,Chicago,IL
170993000764,Farnsworth Elem School,41.98,-87.7663,Chicago,IL
170993000769,Randolph Elem School,41.7606,-87.6769,Chicago,IL
170993000770,Fernwood Elem School,41.7111,-87.6403,Chicago,IL
170993000771,Field Elem School,42.0097,-87.6694,Chicago,IL
170993000773,Fiske Elem School,41.7855,-87.6091,Chicago,IL
170993000774,Fort Dearborn Elem School,41.7298,-87.655,Chicago,IL
170993000777,Franklin Elem Fine Arts Center,41.9064,-87.6361,Chicago,IL
170993000778,Fuller Elem School,41.81806,-87.612147,Chicago,IL
170993000780,Fulton Elem School,41.7973,-87.6687,Chicago,IL
170993000781,Funston Elem School,41.917794,-87.717105,Chicago,IL
170993000782,Gale Elem Community Academy,42.0209,-87.6713,Chicago,IL
170993000783,Gallistel Elem Language Academy,41.7068,-87.5349,Chicago,IL
170993000784,Garvy  J Elem School,41.9763,-87.796,Chicago,IL
170993000785,Gary Elem School,41.838,-87.719,Chicago,IL
170993000787,Kanoon Elem Magnet School,41.8505,-87.7044,Chicago,IL
170993000788,Farragut Career Academy HS,41.849562,-87.708282,Chicago,IL
170993000792,Fenger Academy High School,41.6896,-87.6378,Chicago,IL
170993000794,Goethe Elem School,41.9228,-87.6931,Chicago,IL
170993000796,Owens Community Academy ES,41.670266,-87.623255,Chicago,IL
170993000797,Goudy Technology Academy,41.976,-87.6581,Chicago,IL
170993000799,Foreman High School,41.9396,-87.7539,Chicago,IL
170993000800,Graham  A Elem School,41.8131,-87.6436,Chicago,IL
170993000801,White Elem Career Academy,41.6727,-87.6507,Chicago,IL
170993000803,Gray Elem School,41.949175,-87.757416,Chicago,IL
170993000804,Alcott Elem School,41.9296,-87.646,Chicago,IL
170993000805,Greeley Elem School,41.9531,-87.6506,Chicago,IL
170993000806,Greene N Elem School,41.8297,-87.6712,Chicago,IL
170993000807,Gregory Math & Sci Elem Academy,41.8705,-87.7187,Chicago,IL
170993000808,Grissom Elem School,41.6624,-87.5536,Chicago,IL
170993000809,Gage Park High School,41.791,-87.6894,Chicago,IL
170993000811,Gresham Elem School,41.7388,-87.6452,Chicago,IL
170993000812,Grimes Elem School,41.7757,-87.7585,Chicago,IL
170993000815,Haines Elem School,41.8498,-87.6338,Chicago,IL
170993000816,Gillespie Elem School,41.7248,-87.6232,Chicago,IL
170993000817,Hendricks Elem Community Academy,41.8159,-87.6339,Chicago,IL
170993000819,Hale Elem School,41.7805,-87.777,Chicago,IL
170993000822,Hamilton Elem School,41.9454,-87.6706,Chicago,IL
170993000823,Hamline Elem School,41.8076,-87.661,Chicago,IL
170993000824,Hammond Elem School,41.8526,-87.6962,Chicago,IL
170993000826,Bret Harte Elem School,41.7937,-87.5868,Chicago,IL
170993000830,Harvard Elem School,41.7575,-87.6324,Chicago,IL
170993000831,Haugan Elem School,41.9638,-87.7237,Chicago,IL
170993000832,Hawthorne Elem Scholastic Academy,41.9425,-87.6576,Chicago,IL
170993000834,Hayt Elem School,41.9948,-87.6685,Chicago,IL
170993000835,Healy Elem School,41.8394,-87.641,Chicago,IL
170993000836,Hearst Elem School,41.8087,-87.7462,Chicago,IL
170993000837,Hedges Elem School,41.807167,-87.673173,Chicago,IL
170993000839,McDowell Elem School,41.7329,-87.5899,Chicago,IL
170993000840,Hefferan Elem School,41.8785,-87.7361,Chicago,IL
170993000842,Henderson Elem School,41.7908,-87.6723,Chicago,IL
170993000844,Henry Elem School,41.958836,-87.715788,Chicago,IL
170993000847,Herzl Elem School,41.861834,-87.71837,Chicago,IL
170993000851,Harlan Community Academy HS,41.7188,-87.6213,Chicago,IL
170993000854,Hibbard Elem School,41.9709,-87.7104,Chicago,IL
170993000855,Higgins Elem Community Academy,41.6809,-87.6475,Chicago,IL
170993000856,King Academy of Social Justice,41.7655,-87.6416,Chicago,IL
170993000857,Hitch Elem School,41.9841,-87.7788,Chicago,IL
170993000858,Holden Elem School,41.8383,-87.6543,Chicago,IL
170993000859,Earhart Elem Opt for Knowl School,41.7264,-87.5829,Chicago,IL
170993000860,Keller Elem Gifted Magnet School,41.6975,-87.697,Chicago,IL
170993000861,Holmes Elem School,41.7934,-87.6496,Chicago,IL
170993000862,Howe Elem School,41.8936,-87.7597,Chicago,IL
170993000864,Hoyne Elem School,41.7333,-87.5679,Chicago,IL
170993000865,Hughes  C Elem School,41.8604,-87.7318,Chicago,IL
170993000866,Hurley Elem School,41.7666,-87.7191,Chicago,IL
