freq,size_emp,cost,unit,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,10-49,LCP,PPS,IT	59 	93 	131 	: 
A,10-49,LCP,PPS,LT	20 	37 	35 	: 
A,10-49,LCP,PPS,LU	210 	305 	346 	: 
A,10-49,LCP,PPS,LV	: 	24 	33 	: 
A,10-49,LCP,PPS,MK	: 	: 	148 	: 
A,10-49,LCP,PPS,MT	91 	66 	94 	: 
A,10-49,LCP,PPS,NL	183 	297 	247 	: 
A,10-49,LCP,PPS,NO	179 	297 	300 	: 
A,10-49,LCP,PPS,PL	22 	24 	32 	: 
A,10-49,LCP,PPS,PT	66 	166 	109 	: 
A,10-49,LCP,PPS,RO	10 	: 	24 	: 
A,10-49,LCP,PPS,SE	234 	353 	265 b	: 
A,10-49,LCP,PPS,SI	200 	245 	359 	: 
A,10-49,LCP,PPS,SK	48 	142 	138 	: 
A,10-49,LCP,PPS,UK	77 	89 	98 	: 
A,10-49,LCP,PPS_EU27_2020,AT	79 	149 	187 	172 
A,10-49,LCP,PPS_EU27_2020,BE	173 	302 	418 	247 
A,10-49,LCP,PPS_EU27_2020,BG	10 	30 	47 	32 
A,10-49,LCP,PPS_EU27_2020,CY	54 	123 	81 	71 
A,10-49,LCP,PPS_EU27_2020,CZ	81 	66 	116 bd	118 b
A,10-49,LCP,PPS_EU27_2020,DE	138 	103 	127 	139 
A,10-49,LCP,PPS_EU27_2020,DK	316 	481 	251 	179 
A,10-49,LCP,PPS_EU27_2020,EE	54 	69 	100 	135 
A,10-49,LCP,PPS_EU27_2020,EL	22 	30 	15 	22 
A,10-49,LCP,PPS_EU27_2020,ES	78 	118 	151 	486 
A,10-49,LCP,PPS_EU27_2020,EU27_2020	106 	137 	148 	189 
A,10-49,LCP,PPS_EU27_2020,EU28	100 	131 	139 	: 
A,10-49,LCP,PPS_EU27_2020,FI	120 	155 	163 	101 
A,10-49,LCP,PPS_EU27_2020,FR	157 	170 	179 	209 
A,10-49,LCP,PPS_EU27_2020,HR	: 	109 	96 	109 
A,10-49,LCP,PPS_EU27_2020,HU	29 	23 	19 	81 b
A,10-49,LCP,PPS_EU27_2020,IE	90 	: 	415 	242 
A,10-49,LCP,PPS_EU27_2020,IT	57 	92 	126 	245 
A,10-49,LCP,PPS_EU27_2020,LT	19 	36 	34 	45 
A,10-49,LCP,PPS_EU27_2020,LU	202 	302 	331 	389 
A,10-49,LCP,PPS_EU27_2020,LV	: 	23 	32 	42 
A,10-49,LCP,PPS_EU27_2020,MK	: 	: 	141 	40 
A,10-49,LCP,PPS_EU27_2020,MT	87 	65 	90 	58 
A,10-49,LCP,PPS_EU27_2020,NL	177 	294 	237 	239 
A,10-49,LCP,PPS_EU27_2020,NO	172 	294 	287 	291 
A,10-49,LCP,PPS_EU27_2020,PL	22 	23 	31 	35 
A,10-49,LCP,PPS_EU27_2020,PT	64 	164 	104 	91 
A,10-49,LCP,PPS_EU27_2020,RO	9 	: 	23 	9 
A,10-49,LCP,PPS_EU27_2020,RS	: 	: 	: 	74 
A,10-49,LCP,PPS_EU27_2020,SE	225 	349 	253 b	285 b
A,10-49,LCP,PPS_EU27_2020,SI	192 	242 	344 	158 
A,10-49,LCP,PPS_EU27_2020,SK	46 	140 	132 	92 
A,10-49,LCP,PPS_EU27_2020,UK	74 	88 	94 	: 
A,10-49,NET,EUR,AT	-4 	-10 b	3 	18 
A,10-49,NET,EUR,BE	38 	48 	46 	2 
