freq,na_item,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,B1GQ,CP_MEUR,IT	1621260.7 	1635870.7 	1663277.7 	1704856.7 	1744493.0 	1777744.4 	1804066.8 	1670011.9 	1842507.4 	1998072.6 	2142601.7 	2199619.4 
A,B1GQ,CP_MEUR,LI	4812.4 	5021.7 	5649.1 	5637.7 	5734.6 	5666.3 	5750.1 	5618.0 	6688.5 	7011.9 p	7661.0 e	: 
A,B1GQ,CP_MEUR,LT	34874.0 	36410.1 	37440.7 	38820.7 	42274.6 	45947.4 	49239.2 	50264.6 	56709.1 	67081.1 	74317.0 	78996.2 
A,B1GQ,CP_MEUR,LU	49094.5 	51791.3 	54142.3 	56208.1 	58168.8 	60193.4 	62415.0 	64499.2 	73039.5 	76731.2 	82115.5 	86180.3 
A,B1GQ,CP_MEUR,LV	21997.0 	22790.5 	23744.3 	24498.2 	26017.1 	28153.4 	29567.0 	29224.3 	32283.8 	36088.7 	39564.2 	40359.4 
A,B1GQ,CP_MEUR,ME	3329.6 	3447.2 	3615.0 	3936.6 	4252.5 	4600.9 	4898.4 	4144.8 	4923.2 	5944.4 	7068.8 	7644.5 
A,B1GQ,CP_MEUR,MK	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11262.0 	10851.7 	11834.7 	13243.2 	14667.4 	15672.0 p
A,B1GQ,CP_MEUR,MT	8129.4 	8948.5 	10221.4 	10864.3 	12535.7 	13678.6 	14594.2 	14362.4 	16689.9 	17974.7 	20911.2 	23071.0 
A,B1GQ,CP_MEUR,NL	665567.0 	678627.0 	699175.0 	720175.0 	750861.0 	787273.0 	829767.0 	816463.0 	891550.0 	993820.0 	1050133.0 	1122459.0 
A,B1GQ,CP_MEUR,NO	395856.8 	378456.4 	349756.7 	335396.5 	356288.5 	372657.6 	365130.5 	322823.8 	425445.6 	567468.3 	446533.8 	446866.1 
A,B1GQ,CP_MEUR,PL	390177.0 	408714.7 	432485.8 	427658.6 	469071.2 	503951.0 	538423.5 	531827.4 	583001.4 	661712.3 	751931.7 	848490.9 
A,B1GQ,CP_MEUR,PT	170675.6 	173186.7 	179392.7 	186380.7 	195509.1 	204997.6 	214489.9 	201032.7 	216493.7 	243957.1 	270352.6 	289428.0 p
A,B1GQ,CP_MEUR,RO	142936.0 	150528.8 	160289.0 	167497.1 	186399.2 	204780.7 	223341.4 	219839.8 	240986.6 	280777.4 	321577.9 	353633.1 p
A,B1GQ,CP_MEUR,RS	37978.2 	37014.0 	37219.6 	38164.7 	40828.4 	44710.6 	48104.5 	49024.2 	55931.3 	63501.1 p	75204.0 p	82320.6 p
A,B1GQ,CP_MEUR,SE	439805.4 	435639.5 	452337.2 	463918.8 	474838.2 	465753.3 	474202.9 	478106.9 	533953.6 	547190.4 	535176.8 	558044.4 
A,B1GQ,CP_MEUR,SI	36041.3 	37270.9 	38493.9 	40013.2 	42625.5 	45462.4 	48156.5 	46738.7 	52032.4 	56881.6 	64050.0 	67418.1 
A,B1GQ,CP_MEUR,SK	74642.7 	76562.3 	80376.3 	81621.6 	84960.4 	90275.9 	94547.5 	94320.6 	101891.6 	109959.8 	123538.7 	130207.5 
A,B1GQ,CP_MEUR,TR	723009.3 	709567.6 	778072.8 	786644.3 	764822.9 	666902.5 	692385.8 	638349.1 	707145.8 	880351.2 	1051699.7 	1253386.7 
A,B1GQ,CP_MEUR,UA	138021.4 	101185.1 	82203.6 	84254.1 	99198.6 	110834.0 	137528.0 	136595.3 	168960.3 	154006.3 	167632.0 	: 
A,B1GQ,CP_MEUR,UK	2096338.0 	2311080.2 	2644716.5 	2434119.2 	2359789.9 	2420897.2 	2526615.2 	: 	: 	: 	: 	: 
A,B1GQ,CP_MEUR,XK	5071.3 	5325.1 	5674.4 	6037.3 	6356.5 	6671.5 	7056.2 	6771.6 	7957.9 	8895.7 	9680.1 	10350.4 
