FIPS,State,Year,Month,Population,LaborForce,LF_Percent,Employed,Emp_Percent,Unemployed,Unemp_Rate
6,California,1987,7,21147285,14153879,66.9,13351436,63.1,802443,5.7
37,Los Angeles County,1987,7,6505079,4325944,66.5,4077538,62.7,248406,5.7
8,Colorado,1987,7,2451929,1706498,69.6,1582408,64.5,124090,7.3
9,Connecticut,1987,7,2545584,1775438,69.7,1721157,67.6,54281,3.1
10,Delaware,1987,7,486855,330093,67.8,320428,65.8,9665,2.9
11,District of Columbia,1987,7,499303,347412,69.6,326367,65.4,21045,6.1
12,Florida,1987,7,9589137,5953491,62.1,5635836,58.8,317655,5.3
13,Georgia,1987,7,4629134,3098719,66.9,2930047,63.3,168672,5.4
15,Hawaii,1987,7,762659,512143,67.2,493308,64.7,18835,3.7
16,Idaho,1987,7,705500,468596,66.4,433188,61.4,35408,7.6
17,Illinois,1987,7,8575551,5673998,66.2,5255290,61.3,418708,7.4
18,Indiana,1987,7,4083234,2698187,66.1,2532167,62.0,166020,6.2
19,Iowa,1987,7,2078491,1420072,68.3,1339724,64.5,80348,5.7
20,Kansas,1987,7,1802435,1243752,69.0,1184805,65.7,58947,4.7
21,Kentucky,1987,7,2754588,1688559,61.3,1552374,56.4,136185,8.1
22,Louisiana,1987,7,3109354,1905375,61.3,1684487,54.2,220888,11.6
23,Maine,1987,7,896865,588024,65.6,562914,62.8,25110,4.3
24,Maryland,1987,7,3525634,2452779,69.6,2350423,66.7,102356,4.2
25,Massachusetts,1987,7,4646986,3147521,67.7,3046245,65.6,101276,3.2
26,Michigan,1987,7,6932615,4513484,65.1,4134563,59.6,378921,8.4
27,Minnesota,1987,7,3176664,2271222,71.5,2152539,67.8,118683,5.2
28,Mississippi,1987,7,1854797,1138019,61.4,1025352,55.3,112667,9.9
29,Missouri,1987,7,3810637,2521430,66.2,2361941,62.0,159489,6.3
30,Montana,1987,7,595575,399043,67.0,369496,62.0,29547,7.4
31,Nebraska,1987,7,1150829,794450,69.0,759705,66.0,34745,4.4
32,Nevada,1987,7,806309,587679,72.9,551195,68.4,36484,6.2
33,New Hampshire,1987,7,802155,582304,72.6,569579,71.0,12725,2.2
34,New Jersey,1987,7,5987843,3950407,66.0,3790273,63.3,160134,4.1
35,New Mexico,1987,7,1082647,679491,62.8,619127,57.2,60364,8.9
36,New York,1987,7,13930631,8579114,61.6,8178757,58.7,400357,4.7
51000,New York city,1987,7,5816277,3232202,55.6,3058389,52.6,173813,5.4
37,North Carolina,1987,7,4865808,3319588,68.2,3172479,65.2,147109,4.4
38,North Dakota,1987,7,470764,322780,68.6,306895,65.2,15885,4.9
39,Ohio,1987,7,8086147,5208331,64.4,4844185,59.9,364146,7.0
40,Oklahoma,1987,7,2365605,1529131,64.6,1423388,60.2,105743,6.9
41,Oregon,1987,7,2086202,1395217,66.9,1311472,62.9,83745,6.0
42,Pennsylvania,1987,7,9138090,5574690,61.0,5257041,57.5,317649,5.7
44,Rhode Island,1987,7,761946,515351,67.6,496298,65.1,19053,3.7
45,South Carolina,1987,7,2496890,1631642,65.3,1547402,62.0,84240,5.2
46,South Dakota,1987,7,500443,341600,68.3,326912,65.3,14688,4.3
