freq,size_emp,cost,unit,geo,2005,2010,2015,2020,2005_value,2005_note,2010_value,2010_note,2015_value,2015_note,2020_value,2020_note
A,TOTAL,LCP,PPS_EU27_2020,BE,417 ,674 ,777 ,428 ,417.0,,674.0,,777.0,,428.0,
A,TOTAL,NET,EUR,BE,35 ,28 ,42 ,7 ,35.0,,28.0,,42.0,,7.0,
A,TOTAL,NET,PPS,BE,34 ,25 ,39 ,: ,34.0,,25.0,,39.0,,,
A,TOTAL,NET,PPS_EU27_2020,BE,32 ,25 ,38 ,6 ,32.0,,25.0,,38.0,,6.0,
A,TOTAL,TOTAL,EUR,BE,732 ,1207 ,1405 ,785 ,732.0,,1207.0,,1405.0,,785.0,
A,TOTAL,TOTAL,PPS,BE,697 ,1104 ,1320 ,: ,697.0,,1104.0,,1320.0,,,
A,TOTAL,TOTAL,PPS_EU27_2020,BE,672 ,1092 ,1262 ,704 ,672.0,,1092.0,,1262.0,,704.0,
A,10-49,DIR,EUR,BG,11 ,12 b,38 ,10 ,11.0,,12.0,b,38.0,,10.0,
A,10-49,DIR,PPS,BG,31 ,26 b,82 ,: ,31.0,,26.0,b,82.0,,,
A,10-49,DIR,PPS_EU27_2020,BG,30 ,26 b,78 ,18 ,30.0,,26.0,b,78.0,,18.0,
A,10-49,LCP,EUR,BG,4 ,14 ,23 ,17 ,4.0,,14.0,,23.0,,17.0,
A,10-49,LCP,PPS,BG,10 ,31 ,50 ,: ,10.0,,31.0,,50.0,,,
A,10-49,LCP,PPS_EU27_2020,BG,10 ,30 ,47 ,32 ,10.0,,30.0,,47.0,,32.0,
A,10-49,NET,EUR,BG,0 ,-1 b,-2 ,0 ,0.0,,-1.0,b,-2.0,,0.0,
A,10-49,NET,PPS,BG,-1 ,-3 b,-5 ,: ,-1.0,,-3.0,b,-5.0,,,
A,10-49,NET,PPS_EU27_2020,BG,-1 ,-3 b,-5 ,0 ,-1.0,,-3.0,b,-5.0,,0.0,
A,10-49,TOTAL,EUR,BG,15 ,24 b,58 ,27 ,15.0,,24.0,b,58.0,,27.0,
A,10-49,TOTAL,PPS,BG,41 ,54 b,126 ,: ,41.0,,54.0,b,126.0,,,
A,10-49,TOTAL,PPS_EU27_2020,BG,39 ,53 b,121 ,50 ,39.0,,53.0,b,121.0,,50.0,
A,50-249,DIR,EUR,BG,18 ,30 b,47 ,20 ,18.0,,30.0,b,47.0,,20.0,
A,50-249,DIR,PPS,BG,50 ,67 b,102 ,: ,50.0,,67.0,b,102.0,,,
A,50-249,DIR,PPS_EU27_2020,BG,48 ,66 b,98 ,37 ,48.0,,66.0,b,98.0,,37.0,
A,50-249,LCP,EUR,BG,9 ,18 ,49 ,40 ,9.0,,18.0,,49.0,,40.0,
A,50-249,LCP,PPS,BG,25 ,40 ,105 ,: ,25.0,,40.0,,105.0,,,
A,50-249,LCP,PPS_EU27_2020,BG,24 ,40 ,101 ,74 ,24.0,,40.0,,101.0,,74.0,
A,50-249,NET,EUR,BG,0 ,0 b,-1 ,0 ,0.0,,0.0,b,-1.0,,0.0,
A,50-249,NET,PPS,BG,0 ,1 b,-3 ,: ,0.0,,1.0,b,-3.0,,,
A,50-249,NET,PPS_EU27_2020,BG,0 ,1 b,-3 ,0 ,0.0,,1.0,b,-3.0,,0.0,
A,50-249,TOTAL,EUR,BG,27 ,49 b,94 ,60 ,27.0,,49.0,b,94.0,,60.0,
A,50-249,TOTAL,PPS,BG,76 ,108 b,204 ,: ,76.0,,108.0,b,204.0,,,
A,50-249,TOTAL,PPS_EU27_2020,BG,73 ,107 b,195 ,111 ,73.0,,107.0,b,195.0,,111.0,
A,GE250,DIR,EUR,BG,23 ,40 b,61 ,39 ,23.0,,40.0,b,61.0,,39.0,
A,GE250,DIR,PPS,BG,65 ,88 b,133 ,: ,65.0,,88.0,b,133.0,,,
A,GE250,DIR,PPS_EU27_2020,BG,63 ,87 b,127 ,72 ,63.0,,87.0,b,127.0,,72.0,
A,GE250,LCP,EUR,BG,17 ,37 ,69 ,83 ,17.0,,37.0,,69.0,,83.0,
A,GE250,LCP,PPS,BG,49 ,82 ,149 ,: ,49.0,,82.0,,149.0,,,
A,GE250,LCP,PPS_EU27_2020,BG,47 ,81 ,142 ,155 ,47.0,,81.0,,142.0,,155.0,
A,GE250,NET,EUR,BG,0 ,-4 b,0 ,-1 ,0.0,,-4.0,b,0.0,,-1.0,
A,GE250,NET,PPS,BG,0 ,-9 b,0 ,: ,0.0,,-9.0,b,0.0,,,
